Developer,Units Available,Price,Maintenance Charges,Project Name,Carpet Area,Parking,City,Property,BHK,Price per Sqft
,,2800000.0,,,581.0,No,Mumbai,1 BHK,1,4819.277108433735
,,4000000.0,,,565.0,No,Mumbai,2 BHK,2,7079.646017699115
,,1300000.0,,,250.0,No,Mumbai,1 BHK,1,5200.0
,,3300000.0,,,375.0,No,Mumbai,1 BHK,1,8800.0
Sumit Developer,,3500000.0,,Sumit Greendale NX,393.0,No,Mumbai,1 BHK,1,8905.852417302798
Cosmos Group,,3300000.0,,Cosmos Legend,425.0,No,Mumbai,1 BHK,1,7764.705882352941
Mayfair Housing,0.0,3800000.0,2000.0,Mayfair Virar Gardens,405.0,Yes,Mumbai,1 BHK,1,9382.716049382716
Mayfair Housing,18.0,2900000.0,1000.0,Mayfair Virar Gardens,365.0,Yes,Mumbai,1 BHK,1,7945.2054794520545
Shapoorji Pallonji Real Estate,10.0,4650000.0,1500.0,Joyville Palm Springs,401.0,Yes,Mumbai,1 BHK,1,11596.009975062345
,,3200000.0,,,410.0,No,Mumbai,1 BHK,1,7804.878048780488
,1.0,3500000.0,,,549.0,No,Mumbai,1 BHK,1,6375.227686703097
HDIL,,6500000.0,,HDIL Residency Park,950.0,No,Mumbai,3 BHK,3,6842.105263157895
,,7500000.0,,,750.0,No,Mumbai,3 BHK,3,10000.0
,,6500000.0,,Raj maitry and eskon heights,655.0,No,Mumbai,2 BHK,2,9923.664122137405
,,2990000.0,1920.0,Surya Kirti Tower,360.0,No,Mumbai,1 BHK,1,8305.555555555555
,,3000000.0,800.0,,435.0,Yes,Mumbai,1 BHK,1,6896.551724137931
Rustomjee,,3200000.0,,Global City,350.0,No,Mumbai,1 BHK,1,9142.857142857143
Bhoomi Properties,,4000000.0,,Bhoomi Acropolis,660.0,No,Mumbai,2 BHK,2,6060.606060606061
Ekta World,1.0,2800000.0,,Ekta Parksville,450.0,No,Mumbai,1 BHK,1,6222.222222222223
Rustomjee,1.0,4200000.0,,Global City,584.0,No,Mumbai,2 BHK,2,7191.780821917808
Bhoomi Properties,,4200000.0,,Bhoomi Acropolis,533.0,No,Mumbai,2 BHK,2,7879.924953095685
Vinay Unique Developers,,4350000.0,,Vinay Unique Imperia,750.0,No,Mumbai,2 BHK,2,5800.0
Arham Realtors,1.0,4000000.0,,Shubham Galaxy,575.0,No,Mumbai,2 BHK,2,6956.521739130435
Unique Builders and Poonam developers,100.0,2800000.0,1600.0,Sky City,285.0,Yes,Mumbai,1 BHK,1,9824.561403508771
,1.0,4350000.0,,New Star,335.0,No,Mumbai,1 BHK,1,12985.074626865671
Vinay Unique Group,1.0,4200000.0,,Vinay Unique Residency,482.0,Yes,Mumbai,2 BHK,2,8713.69294605809
,0.0,3200000.0,650.0,,440.0,No,Mumbai,1 BHK,1,7272.727272727273
,0.0,3200000.0,1250.0,,550.0,Yes,Mumbai,1 BHK,1,5818.181818181818
Ekta World,,4700000.0,,Ekta Parksville,660.0,No,Mumbai,2 BHK,2,7121.212121212121
,2.0,3400000.0,1200.0,Rustomjee Avenue I,430.0,Yes,Mumbai,1 BHK,1,7906.976744186047
Bachraj Developers,,3399000.0,,Bachraj Lifespace,441.0,No,Mumbai,1 BHK,1,7707.482993197279
,1.0,3300000.0,,,655.0,Yes,Mumbai,2 BHK,2,5038.167938931298
Bhoomi Properties,1.0,3600000.0,,Bhoomi Acropolis,475.0,No,Mumbai,1 BHK,1,7578.9473684210525
Rustomjee,,3200000.0,,Global City,650.0,No,Mumbai,1 BHK,1,4923.076923076923
Viaan Group,1.0,3000000.0,,Viaan Classic,450.0,No,Mumbai,1 BHK,1,6666.666666666667
,,4950000.0,,,462.0,No,Mumbai,1 BHK,1,10714.285714285714
,,3575000.0,,,470.0,No,Mumbai,1 BHK,1,7606.382978723404
Poonam Developers,,4100000.0,,Poonam Park View,430.0,No,Mumbai,1 BHK,1,9534.883720930233
Rushabh Group,1.0,3150000.0,1200.0,Rushabh Heights,470.0,Yes,Mumbai,1 BHK,1,6702.127659574468
,,4500000.0,,,425.0,No,Mumbai,1 BHK,1,10588.235294117647
,0.0,3250000.0,700.0,,650.0,Yes,Mumbai,1 BHK,1,5000.0
Ekta World,1.0,4800000.0,,Ekta Parksville,667.0,Yes,Mumbai,2 BHK,2,7196.401799100449
Vinay Unique Group,1.0,5500000.0,,Vinay Unique Gardens,664.0,No,Mumbai,2 BHK,2,8283.132530120482
Poonam Developers,,4400000.0,2800.0,Poonam Park View,637.0,No,Mumbai,2 BHK,2,6907.378335949765
,,2400000.0,,,400.0,No,Mumbai,1 BHK,1,6000.0
,,4200000.0,,,700.0,No,Mumbai,2 BHK,2,6000.0
,,1999999.0,,,355.0,No,Mumbai,1 BHK,1,5633.8
Agarwal Group,,4700000.0,,Agarwal Meadows,530.0,No,Mumbai,1 BHK,1,8867.924528301886
,,4250000.0,,,535.0,No,Mumbai,1 BHK,1,7943.92523364486
,,5500000.0,,Viva City A2,696.0,No,Mumbai,2 BHK,2,7902.298850574713
,,4300000.0,,,580.0,No,Mumbai,2 BHK,2,7413.793103448276
Agarwal Group,0.0,7000000.0,2700.0,Agarwal Lifestyle,583.0,Yes,Mumbai,2 BHK,2,12006.861063464838
Rustomjee,,3350000.0,,Global City,380.0,No,Mumbai,1 BHK,1,8815.78947368421
Rustomjee,,4200000.0,,Global City,501.0,No,Mumbai,2 BHK,2,8383.233532934131
,1.0,3170000.0,,Viva City A9,470.0,Yes,Mumbai,1 BHK,1,6744.68085106383
,1.0,2800000.0,1720.0,,560.0,No,Mumbai,1 BHK,1,5000.0
Unique Builders and Poonam developers,,2900000.0,,Sky City,285.0,No,Mumbai,1 BHK,1,10175.438596491229
,,3900000.0,,,670.0,No,Mumbai,2 BHK,2,5820.895522388059
Vinay Unique Developers,,3000000.0,,Vinay Unique Imperia,407.0,No,Mumbai,1 BHK,1,7371.007371007371
Eric Group,,2600000.0,,Star Heights,360.0,No,Mumbai,1 BHK,1,7222.222222222223
Mukti Developer,1.0,4300000.0,,Shantinath Tower,647.0,No,Mumbai,2 BHK,2,6646.058732612056
,,4200000.0,,Viva City A4,590.0,No,Mumbai,2 BHK,2,7118.64406779661
Rustomjee,,5000000.0,,Rustomjee Avenue D1,525.0,No,Mumbai,2 BHK,2,9523.809523809523
HDIL,1.0,7000000.0,,HDIL Residency Park,805.0,No,Mumbai,3 BHK,3,8695.652173913044
,1.0,4100000.0,,,590.0,No,Mumbai,2 BHK,2,6949.152542372882
,,5000000.0,,Vikram Rachna Tower,555.0,No,Mumbai,2 BHK,2,9009.009009009009
,,3600000.0,,Bhavani View,560.0,No,Mumbai,2 BHK,2,6428.571428571428
,0.0,3600000.0,,Virar Bolinj Shakti,490.0,No,Mumbai,1 BHK,1,7346.938775510204
,,2700000.0,0.0,,420.0,No,Mumbai,1 BHK,1,6428.571428571428
,,4500000.0,,,503.0,No,Mumbai,2 BHK,2,8946.322067594434
,,4200000.0,0.0,,604.0,Yes,Mumbai,2 BHK,2,6953.64238410596
,,3500000.0,0.0,,400.0,Yes,Mumbai,1 BHK,1,8750.0
,1.0,3000000.0,,,400.0,No,Mumbai,1 BHK,1,7500.0
Bhoomi Properties,1.0,5600000.0,,Bhoomi Acropolis,570.0,Yes,Mumbai,2 BHK,2,9824.561403508771
,,3200000.0,,,418.0,No,Mumbai,1 BHK,1,7655.502392344498
,1.0,2489000.0,800.0,,412.0,Yes,Mumbai,1 BHK,1,6041.26213592233
Poonam Group,1.0,5000000.0,,Poonam Heights,564.0,No,Mumbai,2 BHK,2,8865.248226950354
Stable Evershine Builders,,6500000.0,2000.0,Evershine Avenue,800.0,No,Mumbai,2 BHK,2,8125.0
,1.0,3500000.0,,,549.0,No,Mumbai,1 BHK,1,6375.227686703097
,1.0,6500000.0,0.0,,592.0,No,Mumbai,2 BHK,2,10979.72972972973
Ekta World,2.0,4500000.0,2000.0,Ekta Parksville,494.0,Yes,Mumbai,2 BHK,2,9109.311740890687
Cosmos Group,,2700000.0,1200.0,Cosmos Solitaire,450.0,No,Mumbai,1 BHK,1,6000.0
,,3800000.0,,,367.0,No,Mumbai,1 BHK,1,10354.223433242507
Mayfair Housing,6.0,3700000.0,1200.0,Mayfair Virar Gardens,360.0,Yes,Mumbai,1 BHK,1,10277.777777777777
Mayfair Housing,11.0,2900000.0,5.0,Mayfair Virar Gardens,363.0,Yes,Mumbai,1 BHK,1,7988.9807162534435
Mayfair Housing,,6500000.0,0.0,Mayfair Virar Gardens,844.0,Yes,Mumbai,2 BHK,2,7701.421800947867
,25.0,2800000.0,0.0,,325.0,Yes,Mumbai,1 BHK,1,8615.384615384615
Mayfair Housing,4.0,4500000.0,,Mayfair Virar Gardens,514.0,Yes,Mumbai,2 BHK,2,8754.863813229573
Bachraj Developers,0.0,3000000.0,2200.0,Bachraj Residency,410.0,No,Mumbai,1 BHK,1,7317.073170731707
Mayfair Housing,300.0,2999999.0,1.0,Mayfair Virar Gardens,363.0,No,Mumbai,1 BHK,1,8264.460055096419
Mayfair Housing,50.0,3999000.0,0.0,Mayfair Virar Gardens,604.0,Yes,Mumbai,1 BHK,1,6620.860927152318
Agarwal Group,,4300000.0,,Agarwal Paramount,650.0,No,Mumbai,2 BHK,2,6615.384615384615
,,2500000.0,0.0,,580.0,No,Mumbai,2 BHK,2,4310.3448275862065
PR Builders,,2700000.0,600.0,Om Sai,500.0,Yes,Mumbai,1 BHK,1,5400.0
Priyesh Group,5.0,2880000.0,2000.0,Priyesh Heights,469.0,No,Mumbai,1 BHK,1,6140.724946695096
,,3700000.0,,,480.0,No,Mumbai,1 BHK,1,7708.333333333333
Shapoorji Pallonji Real Estate,10.0,6500000.0,2000.0,Joyville Palm Springs,770.0,Yes,Mumbai,2 BHK,2,8441.558441558442
,2.0,3900000.0,1500.0,Vitthal Haven,450.0,Yes,Mumbai,1 BHK,1,8666.666666666666
,0.0,5200000.0,1000.0,,599.0,Yes,Mumbai,2 BHK,2,8681.135225375627
Poonam Developers,0.0,3200000.0,1500.0,Poonam Avenue,400.0,Yes,Mumbai,1 BHK,1,8000.0
Rustomjee,2.0,4800000.0,2400.0,Rustomjee Avenue D1,540.0,Yes,Mumbai,2 BHK,2,8888.888888888889
Ekta World,10.0,3000000.0,1500.0,Brooklyn Park,430.0,Yes,Mumbai,1 BHK,1,6976.7441860465115
Bhoomi Properties,,2900000.0,,Bhoomi Acropolis,445.0,No,Mumbai,1 BHK,1,6516.853932584269
Ekta World,1.0,2851000.0,,Ekta Parksville,450.0,No,Mumbai,1 BHK,1,6335.555555555556
Agarwal Group,,3500000.0,0.0,Agarwal Paramount,435.0,Yes,Mumbai,1 BHK,1,8045.977011494253
,,3400000.0,,Baba Time Balaji Platinum,637.0,No,Mumbai,2 BHK,2,5337.5196232339085
,,4500000.0,,,665.0,No,Mumbai,2 BHK,2,6766.917293233083
Bhoomi Properties,1.0,3700000.0,2500.0,Bhoomi Acropolis,400.0,Yes,Mumbai,1 BHK,1,9250.0
Pantan Group,0.0,2950000.0,1500.0,Pantan Synergy,400.0,No,Mumbai,1 BHK,1,7375.0
Evershine Builders,,3800000.0,,Evershine Amavi 303,473.0,No,Mumbai,1 BHK,1,8033.826638477802
MAHAVIR DEVELOPERS,5.0,3200000.0,4.0,Mahavir Residency,650.0,Yes,Mumbai,2 BHK,2,4923.076923076923
,63.0,3200000.0,,,315.0,Yes,Mumbai,1 BHK,1,10158.730158730159
Mayfair Housing,0.0,3899000.0,2200.0,Mayfair Virar Gardens,440.0,Yes,Mumbai,1 BHK,1,8861.363636363636
,,3500000.0,0.0,,750.0,No,Mumbai,2 BHK,2,4666.666666666667
,1.0,4600000.0,0.0,,535.0,Yes,Mumbai,2 BHK,2,8598.130841121496
,,4200000.0,2000.0,,584.0,Yes,Mumbai,2 BHK,2,7191.780821917808
,0.0,4200000.0,1800.0,,410.0,No,Mumbai,1 BHK,1,10243.90243902439
Agarwal Group,20.0,5245000.0,2500.0,Agarwal Paramount,499.0,Yes,Mumbai,2 BHK,2,10511.022044088177
Shapoorji Pallonji Real Estate,15.0,5020000.0,1500.0,Joyville Palm Springs,438.0,Yes,Mumbai,1 BHK,1,11461.187214611871
,,3150000.0,,,457.0,No,Mumbai,1 BHK,1,6892.778993435449
Sairama Real Estate Builders and Developers,20.0,6277500.0,2500.0,Shreeram Complex,930.0,Yes,Mumbai,2 BHK,2,6750.0
Unique Builders and Poonam developers,50.0,2945000.0,2000.0,Sky City,363.0,Yes,Mumbai,1 BHK,1,8112.947658402204
Vinay Unique Group,52.0,2912000.0,1800.0,Unique Avenue 210,353.0,Yes,Mumbai,1 BHK,1,8249.29178470255
Bhoomi Properties,1.0,4400000.0,2500.0,Bhoomi Acropolis,400.0,Yes,Mumbai,1 BHK,1,11000.0
Mayfair Housing,20.0,5500000.0,3500.0,Mayfair Virar Gardens,590.0,Yes,Mumbai,2 BHK,2,9322.033898305084
Mayfair Housing,50.0,3600000.0,2000.0,Mayfair Virar Gardens,440.0,Yes,Mumbai,1 BHK,1,8181.818181818182
,20.0,4095000.0,2500.0,,790.0,Yes,Mumbai,1 BHK,1,5183.544303797468
Agarwal Group,5.0,4595000.0,0.0,Agarwal Paramount,499.0,Yes,Mumbai,2 BHK,2,9208.416833667334
Parikh Group,,4500000.0,2000.0,Yash Platina,410.0,Yes,Mumbai,1 BHK,1,10975.609756097561
Bhoomi Properties,,4450000.0,2850.0,Bhoomi Acropolis,633.0,Yes,Mumbai,2 BHK,2,7030.01579778831
Agarwal Group,15.0,5800000.0,2000.0,Agarwal Paramount,615.0,No,Mumbai,2 BHK,2,9430.894308943089
Agarwal Group,11.0,5145000.0,2500.0,Agarwal Paramount,488.0,Yes,Mumbai,2 BHK,2,10543.032786885246
Shapoorji Pallonji Real Estate,1.0,6600000.0,4500.0,Joyville Palm Springs,666.0,Yes,Mumbai,2 BHK,2,9909.90990990991
,1.0,7000000.0,7000.0,Parikh Paradise Grandeur,694.0,No,Mumbai,2 BHK,2,10086.455331412104
Agarwal Group,0.0,3599000.0,2000.0,Agarwal Paramount,466.0,Yes,Mumbai,1 BHK,1,7723.175965665236
Sunshine Infra,0.0,5000000.0,3200.0,Solaris Stellar Lifestyle,698.0,Yes,Mumbai,2 BHK,2,7163.323782234957
Evershine Builders,,4435000.0,,Evershine Amavi 303,395.0,No,Mumbai,1 BHK,1,11227.848101265823
,25.0,4432000.0,2000.0,,473.0,No,Mumbai,1 BHK,1,9369.97885835095
Agarwal Group,0.0,6000000.0,3500.0,Agarwal Paramount,615.0,No,Mumbai,2 BHK,2,9756.09756097561
,5.0,23155000.0,5000.0,,421.0,Yes,Mumbai,1 BHK,1,55000.0
,0.0,15000000.0,2000.0,,350.0,No,Mumbai,1 BHK,1,42857.142857142855
,5.0,61000000.0,12.0,,1450.0,No,Mumbai,3 BHK,3,42068.96551724138
,,11000000.0,3500.0,,414.0,No,Mumbai,1 BHK,1,26570.048309178743
,,19000000.0,,,540.0,No,Mumbai,1 BHK,1,35185.18518518518
,,20000000.0,,,700.0,No,Mumbai,2 BHK,2,28571.428571428572
,,22500000.0,,,400.0,No,Mumbai,1 BHK,1,56250.0
SB Group,0.0,10000000.0,2000.0,Valencia Tower,270.0,No,Mumbai,1 BHK,1,37037.03703703704
,,45000000.0,8000.0,,900.0,No,Mumbai,3 BHK,3,50000.0
,,40000000.0,,,700.0,No,Mumbai,2 BHK,2,57142.857142857145
,1.0,16000000.0,,,900.0,No,Mumbai,4 BHK,4,17777.777777777777
Avishkar Developers and Builders,0.0,42500000.0,,Avishkar CHS,1000.0,No,Mumbai,4 BHK,4,42500.0
,,35000000.0,2.0,,790.0,Yes,Mumbai,2 BHK,2,44303.79746835443
,,18000000.0,2.0,,525.0,No,Mumbai,2 BHK,2,34285.71428571428
,0.0,12000000.0,,,675.0,No,Mumbai,2 BHK,2,17777.777777777777
,1.0,37500000.0,8000.0,,925.0,Yes,Mumbai,2 BHK,2,40540.54054054054
,0.0,10500000.0,2000.0,Siddhesh Jyoti Tower,225.0,Yes,Mumbai,1 BHK,1,46666.666666666664
,0.0,60800000.0,26000.0,,1351.0,Yes,Mumbai,3 BHK,3,45003.70096225019
,0.0,72500000.0,10000.0,,1100.0,Yes,Mumbai,3 BHK,3,65909.09090909091
Darshan Properties Group,,28500000.0,,Darsshan Vonalzo,585.0,No,Mumbai,2 BHK,2,48717.94871794872
,5.0,38900000.0,12.0,,900.0,No,Mumbai,2 BHK,2,43222.22222222222
,,2230000.0,,,515.0,No,Mumbai,1 BHK,1,4330.097087378641
,,1950000.0,780.0,,280.0,No,Mumbai,1 BHK,1,6964.285714285715
,,1450000.0,,,250.0,No,Mumbai,1 BHK,1,5800.0
,,3000000.0,500.0,,525.0,No,Mumbai,1 BHK,1,5714.285714285715
,,2200000.0,,,300.0,No,Mumbai,1 BHK,1,7333.333333333333
,,1700000.0,500.0,,375.0,No,Mumbai,1 BHK,1,4533.333333333333
,0.0,2400000.0,700.0,,380.0,No,Mumbai,1 BHK,1,6315.789473684211
,0.0,3000000.0,550.0,,375.0,No,Mumbai,1 BHK,1,8000.0
,,1700000.0,500.0,,375.0,No,Mumbai,1 BHK,1,4533.333333333333
,0.0,2400000.0,700.0,,380.0,No,Mumbai,1 BHK,1,6315.789473684211
,0.0,3000000.0,550.0,,375.0,No,Mumbai,1 BHK,1,8000.0
,,900000.0,,,270.0,No,Mumbai,1 BHK,1,3333.3333333333335
,,1100000.0,,,325.0,No,Mumbai,1 BHK,1,3384.6153846153848
,,900000.0,,,325.0,No,Mumbai,1 BHK,1,2769.230769230769
,1.0,1500000.0,500.0,,320.0,Yes,Mumbai,1 BHK,1,4687.5
,,1800000.0,400.0,,390.0,No,Mumbai,1 BHK,1,4615.384615384615
,,2000000.0,800.0,Surya Narayan Apartment,430.0,No,Mumbai,1 BHK,1,4651.162790697675
Rachna and Crystal Developers LLP,,3363640.0,,Shanti Classic,383.0,No,Mumbai,1 BHK,1,8782.349869451697
,,2000000.0,,,450.0,Yes,Mumbai,1 BHK,1,4444.444444444444
,,1100000.0,0.0,,325.0,No,Mumbai,1 BHK,1,3384.6153846153848
,,2200000.0,,,380.0,No,Mumbai,1 BHK,1,5789.473684210527
,,2600000.0,,,545.0,Yes,Mumbai,1 BHK,1,4770.642201834862
,,2300000.0,,,250.0,No,Mumbai,1 BHK,1,9200.0
,,4500000.0,,,835.0,No,Mumbai,2 BHK,2,5389.2215568862275
,,3200000.0,700.0,,495.0,No,Mumbai,1 BHK,1,6464.646464646465
,,2400000.0,,,530.0,No,Mumbai,1 BHK,1,4528.301886792453
,,2800000.0,,,418.0,No,Mumbai,1 BHK,1,6698.564593301436
,,2100000.0,550.0,Vaishnavi Sai Complex,420.0,No,Mumbai,1 BHK,1,5000.0
,0.0,2000000.0,300.0,,250.0,Yes,Mumbai,1 BHK,1,8000.0
,,3700000.0,,,725.0,Yes,Mumbai,2 BHK,2,5103.448275862069
,,2000000.0,,,350.0,No,Mumbai,1 BHK,1,5714.285714285715
,,4500000.0,,,700.0,No,Mumbai,1 BHK,1,6428.571428571428
,1.0,2700000.0,,,400.0,No,Mumbai,1 BHK,1,6750.0
,,2150000.0,,,455.0,No,Mumbai,1 BHK,1,4725.274725274725
,0.0,3500000.0,6000.0,,480.0,No,Mumbai,1 BHK,1,7291.666666666667
Nilay Developers,,1800000.0,550.0,Shree Mahalaxmi Complex,425.0,No,Mumbai,1 BHK,1,4235.294117647059
,,3000000.0,750.0,,450.0,No,Mumbai,1 BHK,1,6666.666666666667
,1.0,2500000.0,800.0,,300.0,No,Mumbai,1 BHK,1,8333.333333333334
,,2300000.0,,,385.0,No,Mumbai,1 BHK,1,5974.025974025974
,,1300000.0,400.0,Shree Jivdani Krupa Complex,335.0,No,Mumbai,1 BHK,1,3880.597014925373
,1.0,5500000.0,,,795.0,No,Palghar,2 BHK,2,6918.238993710692
,1.0,5100000.0,0.0,,900.0,No,Mumbai,2 BHK,2,5666.666666666667
,0.0,2800000.0,1200.0,Vaishnavi Heritage,336.0,Yes,Mumbai,1 BHK,1,8333.333333333334
,,2950000.0,,,550.0,No,Mumbai,1 BHK,1,5363.636363636364
,,2700000.0,963.0,,440.0,Yes,Mumbai,1 BHK,1,6136.363636363636
,,2200000.0,,,450.0,No,Mumbai,1 BHK,1,4888.888888888889
,,2650000.0,,Vakratunda complex Virar,585.0,No,Mumbai,1 BHK,1,4529.91452991453
,35.0,1750000.0,700.0,,380.0,Yes,Mumbai,1 BHK,1,4605.263157894737
M. Baria Group,,2750000.0,1100.0,M Baria Grace,500.0,No,Mumbai,1 BHK,1,5500.0
,,2350000.0,750.0,,400.0,Yes,Mumbai,1 BHK,1,5875.0
,,1600000.0,750.0,,263.0,No,Mumbai,1 BHK,1,6083.650190114068
,0.0,2800000.0,415.0,,415.0,Yes,Mumbai,1 BHK,1,6746.987951807229
Mohak Group,0.0,3400000.0,1000.0,Mohak City,350.0,Yes,Mumbai,1 BHK,1,9714.285714285714
,0.0,6000000.0,1700.0,damodar tower,650.0,Yes,Mumbai,2 BHK,2,9230.76923076923
,,4000000.0,0.0,,450.0,No,Mumbai,1 BHK,1,8888.888888888889
,,1300000.0,500.0,,330.0,No,Mumbai,1 BHK,1,3939.3939393939395
Khandelwal Group,0.0,15000000.0,1.0,Gokuldham,800.0,Yes,Mumbai,2 BHK,2,18750.0
,3.0,3294000.0,1200.0,,485.0,Yes,Mumbai,1 BHK,1,6791.7525773195875
,0.0,2851000.0,700.0,,400.0,No,Mumbai,1 BHK,1,7127.5
,10.0,47000000.0,12000.0,,944.0,Yes,Mumbai,3 BHK,3,49788.13559322034
,4.0,109900000.0,28800.0,,2400.0,Yes,Mumbai,4 BHK,4,45791.666666666664
Suraj Estate Developer,,33000000.0,,Suraj Emmanuel,648.0,No,Mumbai,2 BHK,2,50925.92592592593
Sugee Realty & Developers (India) Pvt. Ltd.,10.0,43000000.0,7500.0,Laxmi Niwas,730.0,Yes,Mumbai,2 BHK,2,58904.109589041094
,2.0,45000000.0,7000.0,Ameyanand,936.0,Yes,Mumbai,3 BHK,3,48076.92307692308
,10.0,48900000.0,8000.0,Sukrut Apartment,799.0,Yes,Mumbai,2 BHK,2,61201.50187734668
,,65000000.0,,,1420.0,No,Mumbai,4 BHK,4,45774.64788732395
Suraj Developers,6.0,55000000.0,10.0,The Palette,1106.0,Yes,Mumbai,3 BHK,3,49728.75226039783
,,150000000.0,,,2400.0,No,Mumbai,4 BHK,4,62500.0
Vidhata Enterprises,0.0,28000000.0,0.0,Guruprabhat Tower,800.0,Yes,Mumbai,2 BHK,2,35000.0
,34.0,26000000.0,0.0,,650.0,Yes,Mumbai,2 BHK,2,40000.0
,0.0,19200000.0,50000.0,,428.0,Yes,Mumbai,1 BHK,1,44859.81308411215
The Baya Company,0.0,31500000.0,5000.0,The Baya Park,730.0,Yes,Mumbai,2 BHK,2,43150.68493150685
,,100000000.0,6000.0,Godavari Kripa,1350.0,Yes,Mumbai,3 BHK,3,74074.07407407407
,0.0,19500000.0,5000.0,,420.0,Yes,Mumbai,1 BHK,1,46428.57142857143
,0.0,70900000.0,16000.0,,1160.0,Yes,Mumbai,3 BHK,3,61120.68965517241
,,26500000.0,5500.0,,650.0,Yes,Mumbai,2 BHK,2,40769.230769230766
Kohinoor Square,,59900000.0,25000.0,Kohinoor Altissimo,1465.0,Yes,Mumbai,3 BHK,3,40887.372013651875
,12.0,61300000.0,15.0,Suraj Palette,1106.0,Yes,Mumbai,3 BHK,3,55424.9547920434
,1.0,18200000.0,10.0,Suraj Park View,370.0,Yes,Mumbai,1 BHK,1,49189.18918918919
Suraj Developers,6.0,59999999.0,12000.0,The Palette,1106.0,Yes,Mumbai,3 BHK,3,54249.54701627487
,4.0,50000000.0,14500.0,,930.0,Yes,Mumbai,2 BHK,2,53763.44086021505
,10.0,47200000.0,7700.0,Sukrut Apartment,770.0,Yes,Mumbai,2 BHK,2,61298.7012987013
,2.0,63500000.0,0.0,,1150.0,Yes,Mumbai,3 BHK,3,55217.391304347824
Sugee Realty & Developers (India) Pvt. Ltd.,2.0,39500000.0,0.0,Laxmi Niwas,730.0,Yes,Mumbai,2 BHK,2,54109.58904109589
,20.0,55000000.0,15.0,Suraj Palette,1106.0,Yes,Mumbai,3 BHK,3,49728.75226039783
,,18000000.0,,Suraj Park View,370.0,No,Mumbai,1 BHK,1,48648.64864864865
,,58400000.0,,Suraj Palette,1106.0,No,Mumbai,3 BHK,3,52802.893309222425
,,45000000.0,20.0,Suraj Palette,905.0,Yes,Mumbai,2 BHK,2,49723.756906077346
,4.0,109900000.0,28800.0,,2400.0,Yes,Mumbai,4 BHK,4,45791.666666666664
Suraj Estate Developer,,33000000.0,,Suraj Emmanuel,648.0,No,Mumbai,2 BHK,2,50925.92592592593
Sugee Realty & Developers (India) Pvt. Ltd.,10.0,43000000.0,7500.0,Laxmi Niwas,730.0,Yes,Mumbai,2 BHK,2,58904.109589041094
,2.0,45000000.0,7000.0,Ameyanand,936.0,Yes,Mumbai,3 BHK,3,48076.92307692308
,10.0,48900000.0,8000.0,Sukrut Apartment,799.0,Yes,Mumbai,2 BHK,2,61201.50187734668
,,65000000.0,,,1420.0,No,Mumbai,4 BHK,4,45774.64788732395
Suraj Developers,6.0,55000000.0,10.0,The Palette,1106.0,Yes,Mumbai,3 BHK,3,49728.75226039783
,,150000000.0,,,2400.0,No,Mumbai,4 BHK,4,62500.0
Vidhata Enterprises,0.0,28000000.0,0.0,Guruprabhat Tower,800.0,Yes,Mumbai,2 BHK,2,35000.0
,34.0,26000000.0,0.0,,650.0,Yes,Mumbai,2 BHK,2,40000.0
,0.0,19200000.0,50000.0,,428.0,Yes,Mumbai,1 BHK,1,44859.81308411215
The Baya Company,0.0,31500000.0,5000.0,The Baya Park,730.0,Yes,Mumbai,2 BHK,2,43150.68493150685
,,100000000.0,6000.0,Godavari Kripa,1350.0,Yes,Mumbai,3 BHK,3,74074.07407407407
,0.0,19500000.0,5000.0,,420.0,Yes,Mumbai,1 BHK,1,46428.57142857143
,0.0,70900000.0,16000.0,,1160.0,Yes,Mumbai,3 BHK,3,61120.68965517241
,,26500000.0,5500.0,,650.0,Yes,Mumbai,2 BHK,2,40769.230769230766
Kohinoor Square,,59900000.0,25000.0,Kohinoor Altissimo,1465.0,Yes,Mumbai,3 BHK,3,40887.372013651875
,12.0,61300000.0,15.0,Suraj Palette,1106.0,Yes,Mumbai,3 BHK,3,55424.9547920434
,1.0,18200000.0,10.0,Suraj Park View,370.0,Yes,Mumbai,1 BHK,1,49189.18918918919
Suraj Developers,6.0,59999999.0,12000.0,The Palette,1106.0,Yes,Mumbai,3 BHK,3,54249.54701627487
,4.0,50000000.0,14500.0,,930.0,Yes,Mumbai,2 BHK,2,53763.44086021505
,10.0,47200000.0,7700.0,Sukrut Apartment,770.0,Yes,Mumbai,2 BHK,2,61298.7012987013
,2.0,63500000.0,0.0,,1150.0,Yes,Mumbai,3 BHK,3,55217.391304347824
Sugee Realty & Developers (India) Pvt. Ltd.,2.0,39500000.0,0.0,Laxmi Niwas,730.0,Yes,Mumbai,2 BHK,2,54109.58904109589
,20.0,55000000.0,15.0,Suraj Palette,1106.0,Yes,Mumbai,3 BHK,3,49728.75226039783
,,18000000.0,,Suraj Park View,370.0,No,Mumbai,1 BHK,1,48648.64864864865
,,58400000.0,,Suraj Palette,1106.0,No,Mumbai,3 BHK,3,52802.893309222425
,,45000000.0,20.0,Suraj Palette,905.0,Yes,Mumbai,2 BHK,2,49723.756906077346
GM Developers,,100000.0,,Dadar Yashodhan,6000.0,No,Mumbai,2 BHK,2,16.666666666666668
,,850000.0,,Anandi Apartment,260.0,No,Mumbai,1 BHK,1,3269.230769230769
