Developer,Units Available,Price,Maintenance Charges,Project Name,Carpet Area,Parking,City,Property,BHK,Price per Sqft
Kalpataru Ltd.,2.0,13900000.0,0.0,Kalpataru Vivant,424.0,Yes,Mumbai,1 BHK,1,32783.018867924526
Arkade Group,1.0,12500000.0,5000.0,Arkade Earth,450.0,Yes,Mumbai,1 BHK,1,27777.777777777777
Atul Projects,1.0,18500000.0,0.0,Hillcrest,858.0,Yes,Mumbai,2 BHK,2,21561.771561771562
,35.0,14800000.0,7500.0,,642.0,No,Mumbai,2 BHK,2,23052.959501557634
Oberoi Realty Ltd.,0.0,92500000.0,29000.0,Oberoi Prisma,1718.0,Yes,Mumbai,4 BHK,4,53841.676367869615
Nexus Builders,150.0,14600000.0,10.0,Ratan Heritage,700.0,Yes,Mumbai,2 BHK,2,20857.14285714286
Oberoi Realty Ltd.,0.0,90000000.0,30000.0,Oberoi Prisma,1718.0,Yes,Mumbai,4 BHK,4,52386.49592549476
Kalpataru Ltd.,4.0,21500000.0,5.0,Kalpataru Vivant,758.0,Yes,Mumbai,2 BHK,2,28364.116094986806
,0.0,26000000.0,6500.0,Ackruti Hillcrest,996.0,Yes,Mumbai,3 BHK,3,26104.41767068273
,0.0,5800000.0,500.0,,275.0,Yes,Mumbai,1 BHK,1,21090.909090909092
Avant Group,0.0,8150000.0,4500.0,Avant Heritage 3,405.0,Yes,Mumbai,1 BHK,1,20123.456790123455
Oberoi Realty Ltd.,0.0,92500000.0,20000.0,Oberoi Maxima,2700.0,Yes,Mumbai,6 BHK,6,34259.25925925926
Oberoi Realty Ltd.,3.0,93900000.0,,Oberoi Maxima,2700.0,Yes,Mumbai,5 BHK,5,34777.77777777778
,3.0,11300000.0,3500.0,,463.0,Yes,Mumbai,1 BHK,1,24406.047516198705
Avant Group,2.0,18400000.0,10.0,Avant Heritage 2,677.0,No,Mumbai,2 BHK,2,27178.729689807977
Kalpataru Ltd.,20.0,12000000.0,5000.0,Kalpataru Vivant,439.0,Yes,Mumbai,1 BHK,1,27334.851936218678
